51;Screw 11/64-40 L=7;;Screw 11/64-40 L=7;SS 4110715 SP ;1-51;MLA;;2015-12-31 00:00:00
52;Screw;;Screw;SS 6090620 TP ;1-52;MLA;;2015-12-31 00:00:00
53;DYNAMO STATOR;;DYNAMO STATOR;22937965;1-53;MLA;;2015-12-31 00:00:00
54;Oil Pump ASM;;Oil Pump ASM;22923056;1-54;MLA;;2015-12-31 00:00:00
55;Left Screw;;Left Screw;B 1903552000 ;1-55;MLA;;2015-12-31 00:00:00
56;Throat plate 3/8'';;Throat plate 3/8'';B 1190530M00 ;1-56;MLA;;2015-12-31 00:00:00
57;Throat plate plug ASM.M;;Throat plate plug ASM.M;B 11155300 AM ;1-57;MLA;;2015-12-31 00:00:00
58;Waste Material Guard  K;;Waste Material Guard  K;11347309;1-58;MLA;;2015-12-31 00:00:00
59;Screw;;Screw;SM 4040855 SP ;1-59;MLA;;2015-12-31 00:00:00
60;Needle plate;;Needle plate;1/4 U  ;1-60;MLA;;2015-12-31 00:00:00
61;Presser foot;;Presser foot;B 1524 ;1-61;MLA;;2015-12-31 00:00:00
62; BOBBIN WINDER SPINDLE;tr?c ? nh su?t; BOBBIN WINDER SPINDLE;229-27602;1-62;MLA;;2015-12-31 00:00:00
63;Gauge 3/16inch (4.8mm);;Gauge 3/16inch (4.8mm);B1190-530-F00;1-63;MLA;;2015-12-31 00:00:00
64;Feed dog 3/16 inch;;Feed dog 3/16 inch;B1609-530-D00;1-64;MLA;;2015-12-31 00:00:00
65;Gauge 1/4 inch;;Gauge 1/4 inch;B1190530H00;1-65;MLA;;2015-12-31 00:00:00
66;"Feed dog 1/4"" (3/8"")";;"Feed dog 1/4"" (3/8"")";B1609503G00;1-66;MLA;;2015-12-31 00:00:00
67;Knife;;Knife;B4145-530-B0A;1-67;MLA;;2015-12-31 00:00:00
68;Needle Screw;;Needle Screw;SS 8080660 TP ;2-1;MLA;;2015-12-31 00:00:00
69;2-Needle gauge set;;2-Needle gauge set;1- 1/4 ;2-2;MLA;;2015-12-31 00:00:00
70;2-Needle gauge set;;2-Needle gauge set;7/8  ;2-3;MLA;;2015-12-31 00:00:00
71;Throat plate 1/4;;Throat plate 1/4;40094773;2-4;MLA;;2015-12-31 00:00:00
72;Assy_ratch_largehook(T);;Assy_ratch_largehook(T);40043334;2-5;MLA;;2015-12-31 00:00:00
73;Spping_L;;Spping_L;40055358;2-6;MLA;;2015-12-31 00:00:00
74;SCREW 1/8-44 L=6;;SCREW 1/8-44 L=6;B1425526000;2-7;MLA;;2015-12-31 00:00:00
75;SCREW M4 L=6;;SCREW M4 L=6;SM6040655TP;2-8;MLA;;2015-12-31 00:00:00
76;SCREW M4 L=7.4;;SCREW M4 L=7.4;SM1040750TP;2-9;MLA;;2015-12-31 00:00:00
77;Sheet;;Sheet;22819809;2-10;MLA;;2015-12-31 00:00:00
78;CLAMP_ SPRING;;CLAMP_ SPRING;40076708;2-11;MLA;;2015-12-31 00:00:00
79;Shuttle (A);;Shuttle (A);40014964;3-1;MLA;;2015-12-31 00:00:00
80;Thread Take - Up Spring;;Thread Take - Up Spring;22921605;3-2;MLA;;2015-12-31 00:00:00
81;Wiper;;Wiper;B2107210D00 ;3-3;MLA;;2015-12-31 00:00:00
82;Shuttle (H) ?;;Shuttle (H) ?;40061991;3-4;MLA;;2015-12-31 00:00:00
83;Counter knife;;Counter knife;B2424210000 ;3-5;MLA;;2015-12-31 00:00:00
84;Needle Hole Guide D=1.6;;Needle Hole Guide D=1.6;B242621000A ;3-6;MLA;;2015-12-31 00:00:00
85;Needle Bearing;;Needle Bearing;B1905541B00 ;3-7;MLA;;2015-12-31 00:00:00
86;Needle Hole Guide D=2.0;;Needle Hole Guide D=2.0;B242621000B ;3-8;MLA;;2015-12-31 00:00:00
87;Moving Knife Compl;;Moving Knife Compl;B2421210AA0 ;3-9;MLA;;2015-12-31 00:00:00
88;Needle - Bar;;Needle - Bar;40026882;3-10;MLA;;2015-12-31 00:00:00
89;Screw 3/32-56 L=2.2;;Screw 3/32-56 L=2.2;SS 1060210 TP ;3-11;MLA;;2015-12-31 00:00:00
90;Shuttle Driver AS M;;Shuttle Driver AS M;40014963;3-12;MLA;;2015-12-31 00:00:00
91;Intermediate Presser A;;Intermediate Presser A;40023632;3-13;MLA;;2015-12-31 00:00:00
92;Bobbin case AS M;;Bobbin case AS M;B1828210 DAA ;3-14;MLA;;2015-12-31 00:00:00
93;Thread Tension 2 AS M-11;;Thread Tension 2 AS M-11;40029411;3-15;MLA;;2015-12-31 00:00:00
94;Crank Rod All-ASM;;Crank Rod All-ASM;40089367;3-16;MLA;;2015-12-31 00:00:00
95;Clamp (2014);;Clamp (2014);NIS-742-99 ;3-17;MLA;;2015-12-31 00:00:00
96;Adjustable Guide(top and button);;Adjustable Guide(top and button);NIS 742-61,62 ;3-18;MLA;;2015-12-31 00:00:00
97;Needle plate support Cove (2014);;Needle plate support Cove (2014);NIS 742120 ;3-19;MLA;;2015-12-31 00:00:00
98;TURN AROUND CRANK SHAET;con l?t;TURN AROUND CRANK SHAET;GFU01001000;3-20;MLA;;2015-12-31 00:00:00
99;INTERMEDIATE PRESSER BASE;mi?ng b?t con l?t;INTERMEDIATE PRESSER BASE;B4314210000;3-21;MLA;;2015-12-31 00:00:00
100;SCREW 3/32-56L=5.5;?c b?t con l?t;SCREW 3/32-56L=5.5;SS7060610SP;3-22;MLA;;2015-12-31 00:00:00
101;COMPENSATING FOOT;ke ch?n;COMPENSATING FOOT;D255421XXOO;3-23;MLA;;2015-12-31 00:00:00
102;E-RING 4;;E-RING 4;RE0400000K0;3-24;MLA;;2015-12-31 00:00:00
103;SCREW 9/64-40 L=7;;SCREW 9/64-40 L=7;SS1090750SP;3-25;MLA;;2015-12-31 00:00:00
104;WASHER 2.5X6X0.5;;WASHER 2.5X6X0.5;WP0250516SD;3-26;MLA;;2015-12-31 00:00:00
105;"E-25; Bobbin";;"E-25; Bobbin";07S026S-306H;3-27;MLA;;2015-12-31 00:00:00
106;;;0;;3-28;MLA;;2015-12-31 00:00:00
107;;;0;;3-29;MLA;;2015-12-31 00:00:00
108;;;0;;3-30;MLA;;2015-12-31 00:00:00
109;Needle - head - 64;;Needle - head - 64;13350400;4-1;MLA;;2015-12-31 00:00:00
110;Thraot plate;;Thraot plate;13351705;4-2;MLA;;2015-12-31 00:00:00
111;presser foot assembly;;presser foot assembly;40056411;4-3;MLA;;2015-12-31 00:00:00
112;Stopper ASM;;Stopper ASM;40082313;4-4;MLA;;2015-12-31 00:00:00
113;main Feed Dog;;main Feed Dog;13353701;4-5;MLA;;2015-12-31 00:00:00
114;diff feed dog;;diff feed dog;13357603;4-6;MLA;;2015-12-31 00:00:00
115;presser foot assy;;presser foot assy;40082974;4-7;MLA;;2015-12-31 00:00:00
116;throat plate;;throat plate;40040513;4-8;MLA;;2015-12-31 00:00:00
117;SCREW M3 L=3;;SCREW M3 L=3;SM8030312TP;4-9;MLA;;2015-12-31 00:00:00
118;PC board 230VHD/HN/ND 230C;;PC board 230VHD/HN/ND 230C;DQ010333;5-1;MLA;;2015-12-31 00:00:00
119;Temperature sensor Iron;;Temperature sensor Iron;JK020200 ;5-2;MLA;;2015-12-31 00:00:00
120;Right angle bias binder;;Right angle bias binder;24 mm ;6-1;MLA;;2015-12-31 00:00:00
121;Right angle bias binder;;Right angle bias binder;26 mm ;6-2;MLA;;2015-12-31 00:00:00
122;Right angle bias binder;;Right angle bias binder;28 mm ;6-3;MLA;;2015-12-31 00:00:00
123;Right angle bias binder;;Right angle bias binder;32 mm ;6-4;MLA;;2015-12-31 00:00:00
124;Right angle bias binder; ;Right angle bias binder;34 mm ;6-5;MLA;;2015-12-31 00:00:00
125;Right angle bias binder;;Right angle bias binder;36 mm ;6-6;MLA;;2015-12-31 00:00:00
126;Right angle bias binder;;Right angle bias binder;38 mm ;6-7;MLA;;2015-12-31 00:00:00
127;Right angle bias binder;;Right angle bias binder;40 mm;6-8;MLA;;2015-12-31 00:00:00
128;Right angle bias binder;;Right angle bias binder;45 mm ;6-9;MLA;;2015-12-31 00:00:00
129;Hemming;;Hemming;1/4 6mm ;6-10;MLA;;2015-12-31 00:00:00
130;Hemming;;Hemming;3/8 10mm;6-11;MLA;;2015-12-31 00:00:00
131;Hemming;;Hemming;1/2 13mm ;6-12;MLA;;2015-12-31 00:00:00
132;Hemming;;Hemming;5/8 16mm ;6-13;MLA;;2015-12-31 00:00:00
133;0;;0;13/16 20mm;6-14;MLA;;2015-12-31 00:00:00
134;Loop;;Loop;10 mm  ;6-15;MLA;;2015-12-31 00:00:00
135;Loop;;Loop;15 mm ;6-16;MLA;;2015-12-31 00:00:00
136;Loop;;Loop;20 mm  ;6-17;MLA;;2015-12-31 00:00:00
137;Folder Fat Lock M/C;;Folder Fat Lock M/C;3/8mm  ;6-18;MLA;;2015-12-31 00:00:00
138;Folder Fat Lock M/C;;Folder Fat Lock M/C;1/2mm ;6-19;MLA;;2015-12-31 00:00:00
139;Zipper guide;;Zipper guide;031-747-9479 ;6-20;MLA;;2015-12-31 00:00:00
140; Up and Down guide;; Up and Down guide;601;6-21;MLA;;2015-12-31 00:00:00
141;Magnetic guide;;Magnetic guide;TKM G20 ;6-22;MLA;;2015-12-31 00:00:00
142;sliding guide;;sliding guide;120428;6-23;MLA;;2015-12-31 00:00:00
143;Guide;;Guide;????. ;6-24;MLA;;2015-12-31 00:00:00
144;Loop Folder;;Loop Folder;3.5cm ;6-25;MLA;;2015-12-31 00:00:00
145;Loop Folder;;Loop Folder;2.7cm  ;6-26;MLA;;2015-12-31 00:00:00
146;Upper looper;;Upper looper;11888104;7-1;MLA;;2015-12-31 00:00:00
147;Main Feed Dog;;Main Feed Dog;13192406;7-2;MLA;;2015-12-31 00:00:00
148;Needle clamp Chain Looper;;Needle clamp Chain Looper;13175500;7-3;MLA;;2015-12-31 00:00:00
149;Auxiliary Feed Dog;;Auxiliary Feed Dog;13191408;7-4;MLA;;2015-12-31 00:00:00
150;Plain knife;;Plain knife;13150602;7-5;MLA;;2015-12-31 00:00:00
151;Lower Looper;;Lower Looper;11999307;7-6;MLA;;2015-12-31 00:00:00
152;Differential Feed Dog;;Differential Feed Dog;13193602;7-7;MLA;;2015-12-31 00:00:00
153;Needle Rod (A) ASM;;Needle Rod (A) ASM; ;7-8;MLA;;2015-12-31 00:00:00
154;Lower knife;;Lower knife;13150701;7-9;MLA;;2015-12-31 00:00:00
155;Chain Looper;;Chain Looper;12120705;7-10;MLA;;2015-12-31 00:00:00
156;Throat Plate;;Throat Plate;R4612J6FF00 ;7-11;MLA;;2015-12-31 00:00:00
157;Needle Screw;;Needle Screw;SS- 8080310- Tp ;7-12;MLA;;2015-12-31 00:00:00
158;Main Feed Dog;;Main Feed Dog;11883006;7-13;MLA;;2015-12-31 00:00:00
159;Differential Feed Dog;;Differential Feed Dog;12173506;7-14;MLA;;2015-12-31 00:00:00
160;Needle Clamp, Chain Looper;;Needle Clamp, Chain Looper;12257507;7-15;MLA;;2015-12-31 00:00:00
161;NEEDLE THREAD PRESSER GUIDE A;;NEEDLE THREAD PRESSER GUIDE A;122-80905( 13110705);7-16;MLA;;2015-12-31 00:00:00
162;NEEDLE THREAD PRESSER SPRING;;NEEDLE THREAD PRESSER SPRING;131-10903;7-17;MLA;;2015-12-31 00:00:00
163;NEEDLE THREAD PRESSER PLATE A;;NEEDLE THREAD PRESSER PLATE A;131-11000;7-18;MLA;;2015-12-31 00:00:00
164;HINGE SCREW D=2.8 H=4;;HINGE SCREW D=2.8 H=4;SD-0280401;7-19;MLA;;2015-12-31 00:00:00
165;TOP FEED DOG;;TOP FEED DOG;123-30205;7-20;MLA;;2015-12-31 00:00:00
166;THROAT  PLATE;;THROAT  PLATE;R4608J6DD00;7-21;MLA;;2015-12-31 00:00:00
167;MAIN FEED DOG;;MAIN FEED DOG;11882909;7-22;MLA;;2015-12-31 00:00:00
168;DIFFERENTIAL FEED DOG;;DIFFERENTIAL FEED DOG;12173209;7-23;MLA;;2015-12-31 00:00:00
169;NEEDEL CLAMP CHAIN LOOPER;;NEEDEL CLAMP CHAIN LOOPER;13175500;7-24;MLA;;2015-12-31 00:00:00
170;TOP FEED DOG;;TOP FEED DOG;12330007;7-25;MLA;;2015-12-31 00:00:00
171;PRESSER FOOT ASM;;PRESSER FOOT ASM;12320057;7-26;MLA;;2015-12-31 00:00:00
172;SPRING;;SPRING;7*37mm;7-27;MLA;;2015-12-31 00:00:00
173;REAR PRESSER FOOT;;REAR PRESSER FOOT;12165908;7-28;MLA;;2015-12-31 00:00:00
174;PRESSER FOOT HINGLE PIN;;PRESSER FOOT HINGLE PIN;11930708;7-29;MLA;;2015-12-31 00:00:00
175;KNIFE ARM SHAFT;;KNIFE ARM SHAFT;31216005;7-30;MLA;;2015-12-31 00:00:00
176;LOWER LOOPER;;LOWER LOOPER;11999307;7-31;MLA;;2015-12-31 00:00:00
177;UPPER LOOPER;;UPPER LOOPER;11991908;7-32;MLA;;2015-12-31 00:00:00
178;;;0;;7-33;MLA;;2015-12-31 00:00:00
179;;;0;;7-34;MLA;;2015-12-31 00:00:00
180;Bobbin case;;Bobbin case;07-004A-3500 ( 229-32909);8-1;MLA;;2015-12-31 00:00:00
181;Bobbin  (AL);;Bobbin  (AL);07-105-2700 ;8-2;MLA;;2015-12-31 00:00:00
182;Needle plate;;Needle plate;1109415 H  ;8-3;MLA;;2015-12-31 00:00:00
183;Needle plate;;Needle plate;150792 (H 26 ) ;8-4;MLA;;2015-12-31 00:00:00
184;Feed Dog;;Feed Dog;150793;8-5;MLA;;2015-12-31 00:00:00
185;Thread Take up spring;;Thread Take up spring;229-21605 ;8-6;MLA;;2015-12-31 00:00:00
186;Counter Knife;;Counter Knife;400-00324;8-7;MLA;;2015-12-31 00:00:00
187;Moving Knife  AS M;;Moving Knife  AS M;113-13053 ;8-8;MLA;;2015-12-31 00:00:00
188;Bobbin Case Tanison spring;;Bobbin Case Tanison spring;??   (18);8-9;MLA;;2015-12-31 00:00:00
189;Bobbin case ( Srew Big );;Bobbin case ( Srew Big );     ??   (16)        ;8-10;MLA;;2015-12-31 00:00:00
190;Bobbin case (Screw Small );;Bobbin case (Screw Small );?..     (17);8-11;MLA;;2015-12-31 00:00:00
191;Rotory Hook  AS M;;Rotory Hook  AS M;110-38650/YZH-7 94BTR ;8-12;MLA;;2015-12-31 00:00:00
192;Upper Knife;;Upper Knife;10-101A-2700 ;8-13;MLA;;2015-12-31 00:00:00
193;Screw ( 1/8 N=44);;Screw ( 1/8 N=44);SC-0130-1230 ;8-14;MLA;;2015-12-31 00:00:00
194;Rotory Hook ;;Rotory Hook ;KLH-7 94BTR ;8-15;MLA;;2015-12-31 00:00:00
195;A-31: Needle plate( A-type);Mat nguyet;A-31: Needle plate( A-type);01-144A-350A;8-16;MLA;;2015-12-31 00:00:00
196;A-32: Needle plate 1/4;Mat nguyet xen 1/4;A-32: Needle plate 1/4;01-114A-5300;8-17;MLA;;2015-12-31 00:00:00
197;A-32: Needle plate 1/8;Mat nguyet may xen 1/8;A-32: Needle plate 1/8;01-035A-5300;8-18;MLA;;2015-12-31 00:00:00
198;A-32: Needle plate 3/8 inch;Mat nguyet may xen 3/8;A-32: Needle plate 3/8 inch;01-115A-5300;8-19;MLA;;2015-12-31 00:00:00
199;A-33: Screw(1/8 n=40);Oc Mat nguyet;A-33: Screw(1/8 n=40);01-136S-1230;8-20;MLA;;2015-12-31 00:00:00
200;A-53: Arm thread guide;huong dan chi;A-53: Arm thread guide;01-030C-1230;8-21;MLA;;2015-12-31 00:00:00
201;A-55: Thread guide for A-5;huong dan chi;A-55: Thread guide for A-5;01-031C-1230;8-22;MLA;;2015-12-31 00:00:00
202;B-27: Thread take up lever Assy;Cum co giat;B-27: Thread take up lever Assy;08-201A-250A;8-23;MLA;;2015-12-31 00:00:00
203;Bobbin presser;Nhip khong che luong danh chi suot;Bobbin presser;;8-24;MLA;;2015-12-31 00:00:00
204;Bobbin winder spindle;Truc Banh xe danh chi;Bobbin winder spindle;22927602;8-25;MLA;;2015-12-31 00:00:00
205;G-32: Bobbin case Assy;Thoi;G-32: Bobbin case Assy;07-004A-3500;8-26;MLA;;2015-12-31 00:00:00
206;C-34: Hook retainer;don ganh;C-34: Hook retainer;07-013A-1230;8-27;MLA;;2015-12-31 00:00:00
207;"F-59: Screw (1/8"" n=44)";oc;"F-59: Screw (1/8"" n=44)";SC-0312-5050;8-28;MLA;;2015-12-31 00:00:00
208;D-100:Reverse feed solenoid crank;Can lai Mui;D-100:Reverse feed solenoid crank;06-131A-257A;8-29;MLA;;2015-12-31 00:00:00
209;D-118: Feed regulator control plate;num dieu chinh mui may;D-118: Feed regulator control plate;06-028C-357B;8-30;MLA;;2015-12-31 00:00:00
210;D-122:Dial shaft eccentric stopper spring;tay ham bo dieu chinh Mui may;D-122:Dial shaft eccentric stopper spring;GP-016425-00;8-31;MLA;;2015-12-31 00:00:00
211;D-42:Feed dog ( A- type);Rang cua;D-42:Feed dog ( A- type);06-131A-350A;8-32;MLA;;2015-12-31 00:00:00
212;D-43: Feed dog;Rang cua (GP-010652-00);D-43: Feed dog;06-031A-350B;8-33;MLA;;2015-12-31 00:00:00
213;D-43: Feed dog;Rang cua may xen 1/8;D-43: Feed dog;06-138A-5300;8-34;MLA;;2015-12-31 00:00:00
214;D-43: Feed dog;Rang cua may xen 1/4;D-43: Feed dog;06-111A-5300;8-35;MLA;;2015-12-31 00:00:00
215;D-43: Feed dog 3/8 inch;Rang cua may xen 3/8;D-43: Feed dog 3/8 inch;06-111A-5300;8-36;MLA;;2015-12-31 00:00:00
216;D-44: Screw (1/8 inch n=44);Oc vit cho cau Rang cua;D-44: Screw (1/8 inch n=44);SC-0130-1230;8-37;MLA;;2015-12-31 00:00:00
217;D-50: Screw (3/16 inch n=28);Oc dieu chinh do cao thap cua cau Rang cua;D-50: Screw (3/16 inch n=28);06-119S-1230;8-38;MLA;;2015-12-31 00:00:00
218;;Dao may tra Vong nach DURKOPP ( Strong H);0;227683(TI);8-39;MLA;;2015-12-31 00:00:00
219;E1: Fix Mes;Dao tinh;E1: Fix Mes;10-101A-2700;8-40;MLA;;2015-12-31 00:00:00
220;E-12 Stopper C ring for E-11;vong ch?n;E-12 Stopper C ring for E-11;10-009C-2700;8-41;MLA;;2015-12-31 00:00:00
221;E5: Thread retaining plate;Nhip giu chi suot cua dao;E5: Thread retaining plate;10-005A-2700;8-42;MLA;;2015-12-31 00:00:00
222;E-52: Thread trimming solenoid Assy;so len noi;E-52: Thread trimming solenoid Assy;10-044A-2507;8-43;MLA;;2015-12-31 00:00:00
223;E-61: Bobbin presser spring;Lo xo hoi cua co mo giu chi suot;E-61: Bobbin presser spring;01-015C-2350;8-44;MLA;;2015-12-31 00:00:00
224;E-9: Rotary Mes;Dao dong;E-9: Rotary Mes;10-106A-235B;8-45;MLA;;2015-12-31 00:00:00
225;F-34: Needle bar(B type);Tru kim;F-34: Needle bar(B type);04-101A-350B;8-47;MLA;;2015-12-31 00:00:00
226;F-38: Screw(1/8 n=44);Oc tao kim;F-38: Screw(1/8 n=44);SC-A131-4522;8-48;MLA;;2015-12-31 00:00:00
227;Feed dog;Rang cua may co;Feed dog;;8-49;MLA;;2015-12-31 00:00:00
228;Feed dog;Rang cua Banh xe;Feed dog;;8-50;MLA;;2015-12-31 00:00:00
229;Fuse ( S/R 160/40);07-009A-SC53( 09-007A-SC53);Fuse ( S/R 160/40);40W 160?J;8-51;MLA;;2015-12-31 00:00:00
230;G-12: Screw (9/64 inch n=40);Oc bat Chan vit;G-12: Screw (9/64 inch n=40);SC-0157-1230;8-52;MLA;;2015-12-31 00:00:00
231;G-12: Screw (9/64 inch n=40);Nang truc chan vit;G-12: Screw (9/64 inch n=40);43-102A-2500;8-53;MLA;;2015-12-31 00:00:00
232;G-29:Needle bar;Tru kim;G-29:Needle bar; 04-001A-5300;8-54;MLA;;2015-12-31 00:00:00
233;G-30: Tension release link;Tach dong tien;G-30: Tension release link;40-005A-3500;8-55;MLA;;2015-12-31 00:00:00
234;G-35: Spring for G-32;Lo xo;G-35: Spring for G-32;40-009G-3500;8-56;MLA;;2015-12-31 00:00:00
235;G-40: Cable connection bolt;chot cap;G-40: Cable connection bolt;40-003A-2700;8-57;MLA;;2015-12-31 00:00:00
236;G-41: Nut for cable connection bolt B;bu long;G-41: Nut for cable connection bolt B;40-005C-2700;8-58;MLA;;2015-12-31 00:00:00
237;G-42: Nut for cable connection bolt A;bu long;G-42: Nut for cable connection bolt A;0;8-59;MLA;;2015-12-31 00:00:00
238;H-16: Hing screw for H-15;oc;H-16: Hing screw for H-15;11-009S-257A;8-60;MLA;;2015-12-31 00:00:00
239;H-9: Presser foot;Chan vit may xen 1/8;H-9: Presser foot;05-010A-5300;8-61;MLA;;2015-12-31 00:00:00
240;J-7-9: Knee lifter connection crank;Khop Noi Choac 3 de nhac Chan vit;J-7-9: Knee lifter connection crank;GP-023209-00;8-62;MLA;;2015-12-31 00:00:00
241;Needle bar crank shaft;Truc Noi tru kim;Needle bar crank shaft;PN-000277-01;8-63;MLA;;2015-12-31 00:00:00
242;Needle bar lower bushing;Bac tru kim;Needle bar lower bushing;04-109A-235A;8-64;MLA;;2015-12-31 00:00:00
243;Needle gauge;Bo cu ly;Needle gauge;TS-752;8-65;MLA;;2015-12-31 00:00:00
244;Needle plate;Mat nguyet may co;Needle plate;;8-66;MLA;;2015-12-31 00:00:00
245;Needle plate;Mat nguyet Banh xe;Needle plate;;8-67;MLA;;2015-12-31 00:00:00
246;Needle plate;Mat nguyet thuong;Needle plate;E18;8-68;MLA;;2015-12-31 00:00:00
247;Normal Feed dog;Rang cua thuong;Normal Feed dog;S03885;8-69;MLA;;2015-12-31 00:00:00
248;Nut;Num dong tien danh chi suot;Nut;;8-70;MLA;;2015-12-31 00:00:00
249;Nut(by metal);Num dong tien phu;Nut(by metal);;8-71;MLA;;2015-12-31 00:00:00
250;Nut(by plastic);Num dong tien phu;Nut(by plastic);;8-72;MLA;;2015-12-31 00:00:00
251;Presser foot 1/4;Chan vit may xen 1/4;Presser foot 1/4;05-112A-5300;8-73;MLA;;2015-12-31 00:00:00
